Student ID,Country,GPA,Curriculum,Travel History,POS Score,NEG Score,Final Score,Recommendation,Essay - Clarity & Focus,Essay - Development & Organization,Essay - Creativity & Style,Essay Total,Analyzed At
S011,China,3.4,Gaokao,No international travel,3.4,0,3.4,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:22.034850
S012,USA,3.3,US High School,Travelled to Canada once,3.3,0,3.3,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:22.034907
S013,Nigeria,3.2,WAEC,No international travel,7.53,0,7.53,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:22.727972
S014,Pakistan,3.1,A-Levels,No international travel,7.28,0,7.28,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:23.427078
S015,Brazil,3.0,Brazilian ENEM,No international travel,6.79,0,6.79,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.106692
S016,Kenya,2.9,KCSE,No international travel,2.9,0,2.9,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.106721
S017,Turkey,2.8,Anatolian HS,No international travel,2.8,0,2.8,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.106739
S018,Egypt,2.7,Thanaweya Amma,No international travel,2.7,0,2.7,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.106754
S019,India,3.3,CBSE,Visited China for summer camp,3.3,0,3.3,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.106766
S020,China,3.5,Gaokao,Traveled to Japan for academic exchange,3.5,0,3.5,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.106779
S021,USA,3.2,US High School,No international travel,3.2,0,3.2,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113095
S022,Nigeria,3.1,WAEC,No international travel,3.1,0,3.1,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113120
S023,Pakistan,2.9,A-Levels,No international travel,2.9,0,2.9,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113135
S024,Brazil,3.0,Brazilian ENEM,No international travel,3.0,0,3.0,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113147
S025,Kenya,3.4,KCSE,Travelled to Uganda for sports events,3.4,0,3.4,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113159
S026,Turkey,3.3,Anatolian HS,No international travel,3.3,0,3.3,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113181
S027,Egypt,3.2,Thanaweya Amma,No international travel,3.2,0,3.2,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113207
S028,India,3.6,CBSE,Traveled to UAE for competitions,3.6,0,3.6,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113226
S029,China,3.7,Gaokao,Visited Germany for academic camp,3.7,0,3.7,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113246
S030,USA,3.5,US High School,Traveled to UK for debate competitions,3.5,0,3.5,HIGH RISK - Requires extensive manual review.,,,,,2025-12-06T07:40:24.113268
